id,repository_id,url,run_status,error_message,started_at,finished_at,duration_seconds,created_at
1,1,https://github.com/caravangelo/inflation-easy,SUCCESS,Repository executed successfully,2026-07-02 12:46:53,2026-07-02 12:50:18,205.83,2026-07-02 12:46:53
2,2,https://github.com/theislab/single-cell-tutorial,SUCCESS,Repository executed successfully,2026-07-02 12:50:56,2026-07-02 12:54:26,209.94,2026-07-02 12:50:56
