id,repository,notebooks,setups,requirements,notebooks_count,setups_count,requirements_count,host_type,rrs,score_E,score_A,score_D,score_C,score_S,paper_doi,ros,rcs
1,caravangelo/inflation-easy,notebooks/plot.ipynb;notebooks/quickstart.ipynb,,,2,0,0,,18.54,0.0,34.0,67.565,65.0,67.80000000000001,,,18.54
2,theislab/single-cell-tutorial,latest_notebook/Case-study_Mouse-intestinal-epithelium_1906.ipynb;old_releases/Case-study_Mouse-intestinal-epithelium_1902.ipynb;old_releases/Case-study_Mouse-intestinal-epithelium_1903.ipynb;old_releases/Case-study_Mouse-intestinal-epithelium_190322.ipynb;old_releases/Case-study_Mouse-intestinal-epithelium_1904.ipynb;plotting_scripts/Klein_data_batch_effects_denoising.ipynb;plotting_scripts/QC_plots.ipynb;supplementary_scripts/Splatter-marker-genes-random-data.ipynb,,,8,0,0,,43.67,44.0,28.000000000000004,45.29,65.0,49.0,,,43.67
